Species,Site,Age,Height_in,Canopy_area_in2,Total_Fruit_No,HV_m2_cm2,WD,Ks,KL_Units,TotalAssim,BW_dry_avg,Photo,Trmmol,Cond,WUE_Intrinsic,Thick_cm,Area_cm2,LMA_g.cm2,LWR,LD_g.cm3,Length_mm_Top,Density_mm2_Top,SPI_Top,WUE_Instantaneous
PRPU,Jonaskop,9,44,1919.513111,76,1.062303,0.481921145,0.97124296,9.15E-05,125849.6944,0.8245,11.85699259,1.203267396,0.142420401,83.25347006,0.057933333,15.26701,0.024955771,2.846230769,0.430767051,0.033333333,80.6909012,0.089656557,9.853996401
PRPU,Jonaskop,10,60,3209.922294,122,0.801429,0.555884521,0.762525728,9.53E-05,112074.5664,0.9055,14.00234662,1.20531619,0.156399212,89.52952154,0.0504,17.55076,0.022620103,3.227333229,0.448811567,0.041666667,70.21156336,0.121895075,11.61715634
PRPU,Jonaskop,10,59,1884.955592,98,1.181981,0.454488465,0.321726668,2.72E-05,121741.5107,0.92,10.29978487,0.741838126,0.078898064,130.5454703,0.062566667,15.73972,0.026302882,1.970086767,0.420397686,0.033333333,69.16362959,0.076848477,13.88414064
PRPU,Jonaskop,10,61,3088.970977,106,0.613618,0.508901335,0.270334,4.41E-05,65908.47654,0.941,10.75345919,1.058410859,0.118617577,90.65654064,0.063933333,11.31486,0.026513806,2.133133479,0.414710211,0.036666667,78.59503363,0.105666656,10.16000459
PRPU,Jonaskop,9,59,2148.849375,66,0.985325,0.51530739,0.511913361,5.20E-05,119763.8922,1.0965,12.15476033,0.98157215,0.115987182,104.7939964,0.055466667,17.52785,0.024133023,2.061518561,0.435090556,0.033333333,81.73883497,0.090820928,12.3829515
PRPU,Jonaskop,10,57,1352.455637,58,0.760766,0.491502999,0.523377589,6.89E-05,83941.54124,1.026,11.04779543,1.628716872,0.168095531,65.72331438,0.0704,10.59535,0.027936784,2.663137326,0.396829318,0.04,78.59503363,0.125752054,6.783128253
PRPU,Jonaskop,11,73,1960.353816,48,0.911023,0.528230459,1.072075059,0.000117678,117177.9335,1.027,12.86223434,1.56712208,0.150892651,85.24095942,0.0662,10.245,0.031527574,2.641912649,0.476247341,0.04,69.16362959,0.110661807,8.207550965
PRPU,Jonaskop,9,53,1174.955652,28,0.717796,0.521835778,0.896322443,0.000125022,93045.14424,0.803,12.97821718,1.556473745,0.146284218,88.71918897,0.063733333,15.17889,0.028262936,2.32354241,0.443456111,0.043333333,62.8760269,0.118067206,8.338217861
PRPU,Jonaskop,10,54,1192.234412,63,1.09143,0.572163225,1.324266804,0.000121507,138837.1817,0.981,12.73891663,1.440535677,0.134022387,95.05066217,0.061333333,17.93604,0.030274241,3.009187514,0.493601758,0.043333333,63.92396067,0.120034993,8.843180237
PRPU,Jonaskop,11,62,1869.247629,87,0.854322,0.51505869,1.128388849,0.00013208,111893.056,1.017,13.09729796,1.42557779,0.140567906,93.17416993,0.060366667,15.9009,0.024086687,2.705243039,0.399006409,0.035,76.49916605,0.093711478,9.187361119
PRPU,Jonaskop,9,48,1088.561854,51,0.631677,0.5117393,0.550584833,8.72E-05,69873.74784,0.9445,11.0616316,0.839777572,0.092509776,119.5725693,0.058633333,13.35104,0.025091678,2.524067555,0.427942208,0.036666667,78.59503363,0.105666656,13.17209696
PRPU,Jonaskop,10,67,2858.849315,128,0.716283,0.504782321,0.463967674,6.48E-05,94029.74627,0.9785,13.12744904,1.25223723,0.128657125,102.0343727,0.0578,16.69625,0.022639814,1.673203355,0.391692284,0.04,75.45123228,0.120721972,10.48319657
PRPU,Jonaskop,11,58,5654.866776,281,1.048213,0.54454408,1.185485516,0.000113096,140307.2474,1.0735,13.38537748,1.536686321,0.167945253,79.70083846,0.066266667,16.29417,0.029826619,2.295591466,0.450099882,0.033333333,82.78676874,0.091985299,8.710546386
PRPU,Jonaskop,10,56,1639.911365,56,0.646549,0.530386972,0.374963908,5.81E-05,77071.56029,1.0195,11.93870354,0.895736416,0.090683967,131.6517565,0.060266667,16.21646,0.026516268,2.694749333,0.439982321,0.04,67.06776202,0.107308419,13.32836684
PRPU,Jonaskop,9,55,2323.207767,115,1.184335,0.479349696,0.57121152,4.83E-05,141670.9757,0.919,11.97406345,1.313000961,0.150707638,79.45226671,0.073066667,24.17056,0.030781248,1.954800995,0.421276202,0.041666667,54.49255664,0.094605133,9.119615146
PRPU,Jonaskop,10,53,3859.446575,189,0.834199,0.508567957,1.148926119,0.000137728,105279.436,0.69,12.62042907,1.054730809,0.061662577,204.66918,0.053166667,15.61319,0.024722686,2.088470556,0.465003496,0.03,88.02643766,0.079223794,11.96554511
PRPU,Jonaskop,9,72,2641.294024,103,0.555305,0.476607126,0.305985517,5.51E-05,65926.18258,0.9295,11.87206213,1.386288335,0.149143801,79.60144539,0.064833333,12.48597,0.029152721,2.176248964,0.449656367,0.038333333,64.97189447,0.095472589,8.563919807
PRPU,Jonaskop,9,63,1808.77197,100,0.805333,0.531898726,0.745661984,9.27E-05,97667.61932,1.147,12.14089709,1.24116473,0.155882108,77.88512258,0.0654,17.1841,0.028980278,2.04682034,0.443123517,0.04,68.11569582,0.108985113,9.781857957
PRPU,Jonaskop,10,50,879.645943,30,0.888231,0.550037208,0.823678544,9.27E-05,104262.4185,1.087,11.73821441,1.152631369,0.120068073,97.76299491,0.063533333,19.31819,0.026141165,2.652566667,0.411455905,0.043333333,58.68429178,0.110196059,10.18384084
PRPU,Jonaskop,8,41,1519.745446,32,1.054108,0.528531703,0.48987341,4.65E-05,122803.9721,1.191,11.66340826,1.095300036,0.106130169,109.8971986,0.051866667,10.48799,0.024980954,2.223460826,0.481637927,0.035,79.6429674,0.097562635,10.64859662
PRRE,Jonaskop,7,75,4405.298298,65,0.609025,0.556919377,0.539546969,8.86E-05,90379.16396,1.1285,14.83996738,1.379233379,0.210526812,70.48967891,0.055033333,5.600925,0.02890594,13.65773333,0.525244219,0.056666667,33.53388102,0.107681018,10.75957674
PRRE,Jonaskop,9,66,2375.044046,84,0.574158,0.523041517,0.422101991,7.36E-05,63387.54067,0.782,11.05871354,1.08028709,0.123687098,89.40878813,0.058833333,5.42163,0.032204337,13.28811881,0.547382502,0.060833333,34.05784789,0.126037689,10.23682838
PRRE,Jonaskop,9,79,3711.006322,127,0.784514,0.553229194,0.714549623,9.11E-05,83165.67843,1.0345,10.60092197,1.510113605,0.177287098,59.79522531,0.05265,5.06898,0.02820094,14.14993269,0.535630389,0.053333333,34.05784789,0.096875656,7.019949979
PRRE,Jonaskop,9,71,3707.079331,120,0.694145,0.541306459,0.581873159,8.40E-05,72039.9778,0.7725,10.39679908,1.504266099,0.178828886,58.13825335,0.048866667,6.36554,0.027680291,13.95882806,0.566445242,0.0575,35.1057817,0.116068491,6.911542504
PRRE,Jonaskop,11,95,5670.57474,178,1.323757,0.523500326,0.96588808,7.30E-05,127002.4076,0.6545,9.594086674,1.097365172,0.107118517,89.56515589,0.05055,6.98691,0.028095396,13.15494419,0.555794184,0.056666667,32.48594722,0.104315986,8.742838682
PRRE,Jonaskop,10,79,2814.867018,56,0.992759,0.52046897,0.812695093,8.19E-05,85536.36394,0.81,8.624282818,1.060488283,0.116565006,73.98689464,0.056233333,5.89698,0.031541569,12.46412705,0.560905202,0.055,35.1057817,0.10619499,8.132369736
PRRE,Jonaskop,10,96,3525.652355,61,1.121264,0.586286079,0.576014447,5.14E-05,134725.2482,0.9325,12.02986486,1.160593457,0.118123585,101.8413457,0.057166667,7.62101,0.029320261,12.97863411,0.51289086,0.059166667,36.15371547,0.126563111,10.36527027
